-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1030.0     15   30.0   24.0     69  19.07    180     10  303.1  358.5  306.5
 1000.0    128   28.0   22.0     69  17.05    185     11  303.1  352.8  305.9
  975.0    351   25.0   20.0     71  14.95    190     12  302.2  344.6  304.9
  950.0    579   23.0   18.0     70  13.08    195     13  302.1  338.1  304.4
  925.0    814   21.0   16.0     69  11.41    200     14  302.0  331.8  303.9
  900.0   1055   19.0   14.0     68   9.92    205     15  301.9  325.6  303.7
  850.0   1556   15.0   10.0     66   7.93    210     16  301.7  313.4  303.1
  800.0   2077   11.0    6.0     64   6.32    215     17  301.6  301.7  302.7
  750.0   2618    7.0    2.0     62   5.01    220     18  301.5  290.5  302.4
  700.0   3180    3.0   -2.0     60   3.96    225     19  301.4  279.9  302.1
  650.0   3765   -1.0   -6.0     58   3.12    230     20  301.4  269.9  301.9
  600.0   4374   -5.0  -10.0     56   2.46    235     21  301.4  260.5  301.8
  550.0   5009   -9.0  -14.0     54   1.93    240     22  301.5  251.8  301.8
  500.0   5672  -13.0  -18.0     52   1.51    245     23  301.6  243.7  301.8
  450.0   6366  -17.0  -22.0     50   1.18    250     24  301.8  236.2  302.0
  400.0   7094  -21.0  -26.0     48   0.92    255     25  302.0  229.2  302.2
  350.0   7859  -27.0  -32.0     46   0.67    260     26  301.8  220.5  302.0
  300.0   8667  -35.0  -40.0     44   0.44    265     27  301.0  209.9  301.1
  250.0   9524  -45.0  -50.0     42   0.24    270     28  299.5  197.0  299.6
  200.0  10441  -56.0  -60.0     40   0.10    275     29  297.8  184.0  297.8
