-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    104   26.0   18.0     60  13.08    180     10  299.1  337.3  301.4
  975.0    305   24.0   16.0     59  11.84    185     11  299.3  334.2  301.4
  950.0    511   22.0   14.0     59  10.69    190     12  299.5  331.1  301.4
  925.0    722   20.0   12.0     58   9.63    195     13  299.7  328.1  301.4
  900.0    938   18.0   10.0     58   8.65    200     14  299.9  325.1  301.4
  850.0   1384   14.0    6.0     57   6.97    210     16  300.3  319.4  301.5
  800.0   1848   10.0    2.0     57   5.57    220     18  300.7  314.0  301.7
  750.0   2329    6.0   -2.0     56   4.41    230     20  301.1  309.0  301.9
  700.0   2829    2.0   -6.0     56   3.47    240     22  301.5  304.3  302.1
  650.0   3349   -2.0  -10.0     56   2.71    250     24  302.0  299.9  302.5
  600.0   3891   -6.0  -14.0     56   2.11    260     26  302.5  295.8  302.9
  550.0   4457  -10.0  -18.0     56   1.63    270     28  303.0  291.9  303.3
  500.0   5050  -14.0  -22.0     56   1.25    280     30  303.5  288.2  303.7
  450.0   5673  -19.0  -27.0     56   0.89    290     32  303.8  283.9  304.0
  400.0   6330  -24.0  -32.0     56   0.63    300     34  304.2  279.8  304.3
  350.0   7027  -30.0  -38.0     56   0.43    310     36  304.4  275.3  304.5
  300.0   7770  -37.0  -45.0     56   0.27    320     38  304.5  270.2  304.6
  250.0   8570  -46.0  -54.0     56   0.15    330     40  304.6  264.3  304.6
  200.0   9440  -56.0  -64.0     56   0.07    340     42  305.0  258.1  305.0
