-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    104   20.0   12.0     56   8.85    180     10  293.2  318.5  294.8
  975.0    305   18.5   11.0     57   8.38    185     11  293.5  317.2  294.9
  950.0    511   17.0   10.0     58   7.93    190     12  293.8  315.9  295.2
  925.0    722   15.5    9.0     59   7.50    195     13  294.1  314.6  295.4
  900.0    938   22.0    2.0     34   5.30    200     14  306.2  320.7  307.1
  850.0   1384   19.0   -2.0     31   4.08    210     16  308.2  318.6  308.9
  800.0   2077   15.0   -6.0     29   3.06    220     18  309.7  315.9  310.3
  700.0   3160    7.0  -14.0     27   1.72    230     22  312.2  315.0  312.5
  600.0   4345   -2.0  -22.0     26   0.96    250     26  314.7  316.1  314.9
  500.0   5650  -12.0  -31.0     25   0.49    270     30  316.8  317.2  316.9
  400.0   7180  -24.0  -42.0     24   0.20    290     34  318.5  318.6  318.5
  300.0   8990  -38.0  -55.0     23   0.07    310     38  320.2  320.2  320.2
  250.0  10190  -48.0  -64.0     22   0.03    320     40  321.0  321.0  321.0
  200.0  11630  -58.0  -72.0     21   0.01    330     42  322.5  322.5  322.5

