-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    104   26.0   18.0     60  13.08    180     10  299.1  337.3  301.4
  975.0    305   24.5   17.0     61  12.47    185     11  299.4  335.4  301.6
  950.0    511   23.0   16.0     62  11.89    190     12  299.6  333.5  301.7
  925.0    722   21.5   15.0     63  11.33    195     13  299.9  331.7  301.9
  900.0    938   20.0   14.0     64  10.80    200     14  300.1  329.8  302.0
  850.0   1384   16.0   10.0     64   8.85    210     16  300.3  322.9  301.9
  800.0   1848   12.0    6.0     64   7.21    220     18  300.7  316.3  301.9
  700.0   2829    4.0   -2.0     64   5.11    230     22  301.5  304.0  302.4
  600.0   3891   -4.0  -10.0     64   3.63    250     26  302.5  295.9  303.1
  500.0   5050  -13.0  -21.0     64   2.27    270     30  303.5  285.5  303.9
  400.0   6330  -24.0  -34.0     63   1.24    290     34  304.2  273.5  304.4
  300.0   7770  -37.0  -48.0     62   0.57    310     38  304.8  260.5  304.9
  250.0   8570  -47.0  -58.0     61   0.31    320     40  305.0  252.8  305.0
  200.0   9440  -57.0  -68.0     60   0.15    330     42  305.5  245.5  305.5

