-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    104   28.0   22.0     69  17.05    180     10  301.3  352.8  304.4
  975.0    305   26.0   20.0     69  14.95    185     12  302.1  348.2  304.8
  950.0    511   24.0   18.0     68  13.08    190     14  303.0  343.7  305.3
  925.0    722   22.0   16.0     67  11.41    195     15  303.8  339.1  305.9
  900.0    938   20.0   14.0     67   9.92    200     16  304.7  334.6  306.4
  850.0   1384   16.0   10.0     67   7.58    210     18  306.2  327.5  307.6
  800.0   1848   12.0    6.0     67   5.72    220     20  307.7  320.6  308.7
  750.0   2329    8.0    2.0     67   4.26    230     22  309.3  314.0  310.0
  700.0   2829    4.0   -2.0     67   3.14    240     24  310.9  307.6  311.4
  650.0   3349    0.0   -6.0     67   2.29    250     26  312.5  301.4  312.9
  600.0   3891   -4.0  -10.0     67   1.65    260     28  314.2  295.4  314.5
  550.0   4457   -8.0  -14.0     67   1.18    270     30  315.9  289.6  316.1
  500.0   5050  -12.0  -18.0     67   0.84    280     32  317.6  284.0  317.8
  450.0   5673  -17.0  -23.0     66   0.57    290     34  318.8  278.0  318.9
  400.0   6330  -22.0  -28.0     66   0.38    300     36  320.0  271.9  320.1
  350.0   7027  -28.0  -34.0     66   0.24    310     38  320.9  265.1  321.0
  300.0   7770  -35.0  -41.0     66   0.14    320     40  321.5  257.6  321.5
  250.0   8570  -44.0  -50.0     66   0.07    330     42  321.8  249.4  321.8
  200.0   9440  -54.0  -60.0     66   0.03    340     44  322.2  240.6  322.2
